type	strand	rgb	html
protein	+	30,144,255	#1E90FF
TSS	+	255,0,0	#FF0000
riboswitch	+	153,153,153	#999999
terminator	+	153,153,153	#999999
UTR	+	53,128,0	#358000
tRNA	+	255,255,0	#FFFF00
shortRNA	+	0,255,0	#00FF00
rRNA	+	204,51,255	#CC33FF
other	+	204,0,0	#CC0000
operon	+	255,0,204	#FF00CC
transcript	+	255,153,0	#FF9900
TF	+	255,204,204	#FFCCCC
protein	-	52,116,179	#3474B3
TSS	-	179,36,36	#B32424
riboswitch	-	107,107,107	#6B6B6B
terminator	-	107,107,107	#6B6B6B
UTR	-	48,90,18	#305A12
tRNA	-	179,179,36	#B3B324
shortRNA	-	36,179,36	#24B324
rRNA	-	150,64,179	#9640B3
other	-	143,29,29	#8F1D1D
operon	-	179,36,150	#B32496
transcript	-	179,121,36	#B37924
TF	-	179,150,150	#B39696
