gene	pathway	pathway_name
BSGatlas-gene-4	ko02020	Two-component system
BSGatlas-gene-5	ko03030	DNA replication
BSGatlas-gene-5	ko03430	Mismatch repair
BSGatlas-gene-5	ko03440	Homologous recombination
BSGatlas-gene-7	ko03440	Homologous recombination
BSGatlas-gene-12	ko03010	Ribosome
BSGatlas-gene-13	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-14	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-15	ko03010	Ribosome
BSGatlas-gene-16	ko03010	Ribosome
BSGatlas-gene-18	ko00230	Purine metabolism
BSGatlas-gene-18	ko01100	Metabolic pathways
BSGatlas-gene-18	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-20	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-20	ko01100	Metabolic pathways
BSGatlas-gene-21	ko00750	Vitamin B6 metabolism
BSGatlas-gene-21	ko01100	Metabolic pathways
BSGatlas-gene-21	ko01240	Biosynthesis of cofactors
BSGatlas-gene-23	ko00750	Vitamin B6 metabolism
BSGatlas-gene-23	ko01100	Metabolic pathways
BSGatlas-gene-23	ko01240	Biosynthesis of cofactors
BSGatlas-gene-25	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-26	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-27	ko00230	Purine metabolism
BSGatlas-gene-27	ko00240	Pyrimidine metabolism
BSGatlas-gene-27	ko01100	Metabolic pathways
BSGatlas-gene-28	ko00230	Purine metabolism
BSGatlas-gene-32	ko03060	Protein export
BSGatlas-gene-33	ko03030	DNA replication
BSGatlas-gene-33	ko03430	Mismatch repair
BSGatlas-gene-33	ko03440	Homologous recombination
BSGatlas-gene-35	ko03440	Homologous recombination
BSGatlas-gene-38	ko03010	Ribosome
BSGatlas-gene-39	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-40	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-41	ko03010	Ribosome
BSGatlas-gene-43	ko03010	Ribosome
BSGatlas-gene-48	ko00240	Pyrimidine metabolism
BSGatlas-gene-48	ko01100	Metabolic pathways
BSGatlas-gene-51	ko03030	DNA replication
BSGatlas-gene-51	ko03430	Mismatch repair
BSGatlas-gene-51	ko03440	Homologous recombination
BSGatlas-gene-59	ko00450	Selenocompound metabolism
BSGatlas-gene-59	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-59	ko01100	Metabolic pathways
BSGatlas-gene-69	ko00900	Terpenoid backbone biosynthesis
BSGatlas-gene-69	ko01100	Metabolic pathways
BSGatlas-gene-69	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-73	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-73	ko00541	O-Antigen nucleotide sugar biosynthesis
BSGatlas-gene-73	ko01100	Metabolic pathways
BSGatlas-gene-74	ko00030	Pentose phosphate pathway
BSGatlas-gene-74	ko00230	Purine metabolism
BSGatlas-gene-74	ko01100	Metabolic pathways
BSGatlas-gene-74	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-74	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-74	ko01200	Carbon metabolism
BSGatlas-gene-74	ko01230	Biosynthesis of amino acids
BSGatlas-gene-75	ko03010	Ribosome
BSGatlas-gene-78	ko03420	Nucleotide excision repair
BSGatlas-gene-87	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-88	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-94	ko00230	Purine metabolism
BSGatlas-gene-94	ko01100	Metabolic pathways
BSGatlas-gene-94	ko01110	Biosynthesis of secondary metabolites
