gene	merged_name	type	start	end	strand	UTR length on 5' end	UTR length on 3' end	UTR length before start	UTR length after end
BSGatlas-gene-10	gyrA	CDS	6994	9459	+	210	43	210	43
BSGatlas-gene-100	pabB	CDS	82864	84276	+	97	0	97	0
BSGatlas-gene-1000	linK	CDS	905010	905672	+	0	65	0	65
BSGatlas-gene-1004	padR	CDS	909198	909746	-	81	84	84	81
BSGatlas-gene-1005	estB	CDS	910019	910651	+	45	55	45	55
BSGatlas-gene-1006	icaC	CDS	910840	911928	+	46	46	46	46
BSGatlas-gene-1008	yfiR	CDS	911964	912581	-	40	44	44	40
BSGatlas-gene-1009	yfiS	CDS	912547	913800	-	53	0	0	53
BSGatlas-gene-101	pabA	CDS	84290	84874	+	599	0	599	0
BSGatlas-gene-1010	bstA	CDS	913924	914460	+	41	173	41	173
BSGatlas-gene-1011	yfiU	CDS	914457	916013	-	40	0	0	40
BSGatlas-gene-1012	yfiV	CDS	916124	916606	-	42	54	54	42
BSGatlas-gene-1013	mprF	CDS	916778	919348	+	58	28	58	28
BSGatlas-gene-1014	sxzY	CDS	919366	920343	-	45	45	45	45
BSGatlas-gene-1015	sxzZ	CDS	920474	921475	+	93	0	93	0
BSGatlas-gene-1016	sxzA	CDS	921472	922503	+	0	50	0	50
BSGatlas-gene-1017	yfhB	CDS	922618	923499	+	44	87	44	87
BSGatlas-gene-1018	yfhC	CDS	923587	924171	+	87	47	87	47
BSGatlas-gene-1019	yfhD	CDS	924210	924401	-	66	50	50	66
BSGatlas-gene-1020	yfhE	CDS	924468	924578	-	54	66	66	54
BSGatlas-gene-1021	yfhF	CDS	924633	925544	-	37	54	54	37
BSGatlas-gene-1022	recX	CDS	925633	926427	+	174	0	174	0
BSGatlas-gene-1023	yfhH	CDS	926429	926743	+	0	45	0	45
BSGatlas-gene-1025	yfhI	CDS	926886	928079	+	44	41	44	41
BSGatlas-gene-1026	sspK	CDS	928112	928264	-	54	44	44	54
BSGatlas-gene-1027	yfhJ	CDS	928389	928658	+	74	0	74	0
BSGatlas-gene-1028	yfhK	CDS	928803	929321	+	47	84	47	84
BSGatlas-gene-1029	spdL	CDS	929406	929738	+	84	0	84	0
BSGatlas-gene-1030	ephM	CDS	929725	930585	+	0	55	0	55
BSGatlas-gene-1031	csbB	CDS	930818	931807	+	81	71	81	71
BSGatlas-gene-1032	yfhO	CDS	931879	934464	+	71	24	71	24
BSGatlas-gene-1033	yfhP	CDS	934457	935440	-	148	24	24	148
BSGatlas-gene-1034	mutY	CDS	935656	936765	+	717	313	717	313
BSGatlas-gene-1035	yfhS	CDS	936773	936997	-	902	289	289	902
BSGatlas-gene-1036	fabL	CDS	937079	937831	+	441	68	441	68
